diameter,steps,measured_angle,tilt,tilt component,experimental a/s,theoretical a/s,k factor,expected angle,error
2,6.5625,10.03,0,1,1.528380952,2.910625599,0.525103934,9.550490248,-0.479509752
2,6.5625,9.69,0,1,1.476571429,2.910625599,0.507303801,9.550490248,-0.139509752
2,6.5,9.6,0,1,1.476923077,2.910625599,0.507424616,9.459533198,-0.140466802
2,6.5,8.65,0,1,1.330769231,2.910625599,0.457210722,9.459533198,0.809533198
2,6.5,8.45,0,1,1.3,2.910625599,0.446639376,9.459533198,1.009533198
2,6.5,8.27,0,1,1.272307692,2.910625599,0.437125164,9.459533198,1.189533198
2,6.5,7.09,0,1,1.090769231,2.910625599,0.374754222,9.459533198,2.369533198
2,6.5625,7.04,0,1,1.072761905,2.910625599,0.368567467,9.550490248,2.510490248
2,6.5625,6.95,0,1,1.059047619,2.910625599,0.363855667,9.550490248,2.600490248
2,6.5625,6.23,0,1,0.949333333,2.910625599,0.326161267,9.550490248,3.320490248
2,29.3125,46.88,0,1,1.599317697,2.910625599,0.549475583,42.65885644,-4.221143561
2,29.375,45.47,0,1,1.547914894,2.910625599,0.531815186,42.74981349,-2.720186511
2,29.375,43.85,0,1,1.492765957,2.910625599,0.512867735,42.74981349,-1.100186511
2,29.375,43.74,0,1,1.489021277,2.910625599,0.511581179,42.74981349,-0.990186511
2,29.3125,43.09,0,1,1.470021322,2.910625599,0.505053389,42.65885644,-0.431143561
2,29.3125,42.93,0,1,1.4645629,2.910625599,0.503178045,42.65885644,-0.271143561
2,29.375,42.56,0,1,1.448851064,2.910625599,0.49777995,42.74981349,0.189813489
2,29.3125,41.3,0,1,1.408955224,2.910625599,0.484072986,42.65885644,1.358856439
2,29.3125,40.43,0,1,1.379275053,2.910625599,0.473875807,42.65885644,2.228856439
2,29.375,39.24,0,1,1.335829787,2.910625599,0.458949371,42.74981349,3.509813489
2,58.6875,92.64,0,1,1.578530351,2.910625599,0.5423337,85.40866993,-7.231330072
2,58.8125,91.13,0,1,1.549500531,2.910625599,0.532359961,85.59058403,-5.539415972
2,58.6875,90.78,0,1,1.546837061,2.910625599,0.531444876,85.40866993,-5.371330072
2,58.8125,90.68,0,1,1.541849097,2.910625599,0.529731167,85.59058403,-5.089415972
2,58.6875,89.82,0,1,1.530479233,2.910625599,0.525824838,85.40866993,-4.411330072
2,58.8125,89.73,0,1,1.525696068,2.910625599,0.524181492,85.59058403,-4.139415972
2,58.6875,89.62,0,1,1.527071353,2.910625599,0.524653996,85.40866993,-4.211330072
2,58.6875,88.47,0,1,1.507476038,2.910625599,0.517921659,85.40866993,-3.061330072
2,58.6875,86.98,0,1,1.482087327,2.910625599,0.509198891,85.40866993,-1.571330072
2,58.8125,86.24,0,1,1.466354942,2.910625599,0.503793735,85.59058403,-0.649415972
2,88,135.3,0,1,1.5375,2.910625599,0.528236954,128.0675264,-7.232473632
2,88,134.95,0,1,1.533522727,2.910625599,0.526870487,128.0675264,-6.882473632
2,88.1875,134.76,0,1,1.528107725,2.910625599,0.525010062,128.3403975,-6.419602482
2,88.1875,134.25,0,1,1.522324592,2.910625599,0.523023158,128.3403975,-5.909602482
2,88,134.21,0,1,1.525113636,2.910625599,0.523981386,128.0675264,-6.142473632
2,88,133.62,0,1,1.518409091,2.910625599,0.521677914,128.0675264,-5.552473632
2,88,133.49,0,1,1.516931818,2.910625599,0.521170369,128.0675264,-5.422473632
2,88.1875,132.96,0,1,1.507696669,2.910625599,0.517997461,128.3403975,-4.619602482
2,88.1875,132.95,0,1,1.507583274,2.910625599,0.517958502,128.3403975,-4.609602482
2,88.1875,132.77,0,1,1.505542169,2.910625599,0.517257242,128.3403975,-4.429602482
3,9.9375,10.68,0,1,1.074716981,1.940417066,0.553858755,9.641447298,-1.038552702
3,9.875,10.59,0,1,1.072405063,1.940417066,0.552667301,9.580809264,-1.009190736
3,9.875,8.75,0,1,0.886075949,1.940417066,0.45664201,9.580809264,0.830809264
3,9.875,8.1,0,1,0.820253165,1.940417066,0.422720032,9.580809264,1.480809264
3,9.9375,7.79,0,1,0.783899371,1.940417066,0.403984991,9.641447298,1.851447298
3,9.9375,7.77,0,1,0.781886792,1.940417066,0.402947802,9.641447298,1.871447298
3,9.875,7.7,0,1,0.779746835,1.940417066,0.401844969,9.580809264,1.880809264
3,9.9375,7.69,0,1,0.773836478,1.940417066,0.398799048,9.641447298,1.951447298
3,9.875,7.65,0,1,0.774683544,1.940417066,0.399235586,9.580809264,1.930809264
3,9.9375,7.64,0,1,0.768805031,1.940417066,0.396206076,9.641447298,2.001447298
3,44.75,45.33,0,1,1.012960894,1.940417066,0.522032563,43.41683186,-1.913168144
3,44.75,45.18,0,1,1.009608939,1.940417066,0.520305122,43.41683186,-1.763168144
