timestamp,elapsed_time_s,fz_value_N,operation
1757535246.6907141,0.001,-0.001467,lift
1757535246.736599,0.047,0.007275,lift
1757535246.7415853,0.052,0.004004,lift
1757535246.7924492,0.103,0.003431,lift
1757535246.837552,0.148,0.003623,lift
1757535246.843535,0.154,0.011203,lift
1757535246.8944,0.205,0.189302,lift
1757535246.9382815,0.249,0.383060,lift
1757535246.9452631,0.256,0.477009,lift
1757535246.9971247,0.307,0.553617,lift
1757535247.0430021,0.353,-0.003539,lift
1757535247.0479898,0.358,0.000057,lift
1757535247.0988526,0.409,0.004729,lift
1757535247.1437328,0.454,0.002445,lift
1757535247.1507137,0.461,-0.000436,lift
1757535247.2014008,0.512,-0.004809,lift
1757535247.2462795,0.557,0.000867,lift
1757535247.3071187,0.617,0.001726,lift
1757535247.3579817,0.668,-0.006041,lift
1757535247.409843,0.720,-0.002924,lift
1757535247.4138315,0.724,-0.002924,lift
1757535247.4607065,0.771,-0.006065,lift
1757535247.5115707,0.822,-0.012015,lift
1757535247.5145628,0.825,-0.006851,lift
1757535247.5634317,0.874,0.005675,lift
1757535247.6142957,0.925,0.001081,lift
1757535247.618285,0.929,0.001081,lift
1757535247.66516,0.975,-0.002071,lift
1757535247.7167983,1.027,-0.006076,lower
1757535247.7187934,1.029,-0.006076,lower
1757535247.7676618,1.078,0.000725,lower
1757535247.826506,1.137,0.000316,lower
1757535247.8843496,1.195,0.008435,lower
1757535247.935218,1.246,-0.002267,lower
1757535247.9820888,1.292,0.001945,lower
1757535247.987075,1.297,-0.007128,lower
1757535248.0379398,1.348,0.001000,lower
1757535248.082819,1.393,0.004337,lower
1757535248.0888035,1.399,0.001730,lower
1757535248.1396685,1.450,-0.002591,lower
1757535248.187539,1.498,0.009478,lower
1757535248.190531,1.501,0.015935,lower
1757535248.2413955,1.552,-0.006552,lower
1757535248.2882698,1.599,-0.168436,lower
1757535248.2922592,1.603,-0.168436,lower
1757535248.3431232,1.653,-0.500669,lower
1757535248.390996,1.701,-0.648487,lower
1757535248.444851,1.755,-0.680820,lower
1757535248.4957151,1.806,-0.677268,lower
1757535248.5465791,1.857,-0.673433,lower
1757535248.5475764,1.858,-0.673433,lower
1757535248.597443,1.908,-0.633982,lower
1757535248.6483078,1.959,-0.592086,lower
1757535248.6483078,1.959,-0.592086,lower
1757535248.6991713,2.009,-0.578537,lower
1757535248.7497413,2.060,-0.566377,lower
1757535248.755725,2.066,-0.557709,lower
1757535248.8006055,2.111,-0.561914,lower
1757535248.8514724,2.162,-0.566038,lower
1757535248.8564553,2.167,-0.566038,lower
1757535248.9023337,2.213,-0.561687,lower
1757535248.9581835,2.268,-0.502176,lower
1757535249.0090473,2.319,-0.515714,lower
1757535249.0599117,2.370,-0.503471,lower
1757535249.1077838,2.418,-0.522878,lower
1757535249.110776,2.421,-0.522878,lower
1757535249.1616397,2.472,-0.509578,lower
1757535249.2085142,2.519,-0.518603,lower
1757535249.2125044,2.523,-0.515181,lower
1757535249.2633674,2.574,-0.497885,lower
1757535249.3142312,2.625,-0.506511,lower
1757535249.3142312,2.625,-0.506511,lower
1757535249.3650954,2.675,-0.497322,lower
1757535249.4149616,2.725,-0.493333,lower
1757535249.4159596,2.726,-0.493333,lower
1757535249.466824,2.777,-0.481609,lower
1757535249.5176873,2.828,-0.485615,lower
1757535249.5715432,2.882,-0.493510,lower
1757535249.6224084,2.933,-0.497486,lower
1757535249.6732712,2.984,-0.505400,lower
1757535249.6792552,2.990,-0.497820,lower
1757535249.7251105,3.035,-0.493366,cw
1757535249.7759738,3.086,-0.497514,cw
1757535249.780961,3.091,-0.497214,cw
1757535249.826838,3.137,-0.492417,cw
1757535249.8786993,3.189,-0.475287,cw
1757535249.8856807,3.196,-0.475740,cw
1757535249.929563,3.240,-0.464505,cw
1757535249.9804273,3.291,-0.462635,cw
1757535249.9864118,3.297,-0.459296,cw
1757535250.0322893,3.343,-0.450458,cw
1757535250.0871427,3.397,-0.445026,cw
1757535250.1380074,3.448,-0.440318,cw
1757535250.1888704,3.499,-0.420773,cw
1757535250.231756,3.542,-0.424612,cw
1757535250.2397342,3.550,-0.436421,cw
1757535250.290598,3.601,-0.432172,cw
1757535250.3324864,3.643,-0.428038,cw
1757535250.3424597,3.653,-0.428973,cw
1757535250.3933237,3.704,-0.436520,cw
1757535250.4392009,3.749,-0.432850,cw
1757535250.4441876,3.754,-0.424873,cw
1757535250.4950519,3.805,-0.429636,cw
1757535250.5399313,3.850,-0.429129,cw
1757535250.5459156,3.856,-0.439934,cw
1757535250.5967803,3.907,-0.432205,cw
1757535250.6446514,3.955,-0.439694,cw
1757535250.6975102,4.008,-0.432810,cw
1757535250.7482796,4.059,-0.425059,ccw
1757535250.7891684,4.099,-0.419606,ccw
1757535250.7991414,4.109,-0.432904,ccw
1757535250.8500054,4.160,-0.433028,ccw
1757535250.8908963,4.201,-0.441530,ccw
1757535250.9008694,4.211,-0.441258,ccw
1757535250.9517336,4.262,-0.446428,ccw
1757535250.9986775,4.309,-0.466373,ccw
1757535251.002666,4.313,-0.463351,ccw
1757535251.0535328,4.364,-0.466860,ccw
1757535251.100405,4.411,-0.463114,ccw
1757535251.1043944,4.415,-0.463114,ccw
1757535251.1552594,4.466,-0.479912,ccw
1757535251.2021327,4.512,-0.488180,ccw
1757535251.251002,4.561,-0.483757,ccw
1757535251.301867,4.612,-0.488914,ccw
1757535251.3028643,4.613,-0.488914,ccw
1757535251.3527293,4.663,-0.484915,ccw
1757535251.403594,4.714,-0.473442,ccw
1757535251.403594,4.714,-0.473442,ccw
1757535251.4544585,4.765,-0.479911,ccw
1757535251.5053225,4.816,-0.464286,ccw
1757535251.5113065,4.822,-0.468527,ccw
1757535251.5561855,4.866,-0.479005,ccw
1757535251.6080482,4.918,-0.483953,ccw
1757535251.612037,4.922,-0.483953,ccw
1757535251.6589115,4.969,-0.472034,ccw
1757535251.7127683,5.023,-0.471461,ccw
1757535251.752429,5.063,-0.471947,cw
1757535251.803368,5.114,-0.471257,cw
1757535251.8133416,5.124,-0.470964,cw
1757535251.8552296,5.166,-0.467691,cw
1757535251.9060934,5.216,-0.466584,cw
1757535251.9140716,5.224,-0.458859,cw
1757535251.956957,5.267,-0.447287,cw
1757535252.0078218,5.318,-0.446452,cw
1757535252.01979,5.330,-0.449898,cw
1757535252.0586853,5.369,-0.441534,cw
1757535252.1095495,5.420,-0.433079,cw
1757535252.1205199,5.431,-0.428633,cw
1757535252.1614103,5.472,-0.435451,cw
1757535252.2212505,5.532,-0.424432,cw
1757535252.2721148,5.582,-0.427840,cw
1757535252.3229778,5.633,-0.427874,cw
