diameter,tilt,steps,measured_angle
2,0,6.5625,10.03
2,0,6.5625,9.69
2,0,6.5625,7.04
2,0,6.5625,6.95
2,0,6.5625,6.23
2,0,29.375,45.47
2,0,29.375,43.85
2,0,29.375,43.74
2,0,29.375,42.56
2,0,29.375,39.24
2,0,58.8125,91.13
2,0,58.8125,90.68
2,0,58.8125,89.73
2,0,58.8125,86.24
2,0,88.1875,134.76
2,0,88.1875,134.25
2,0,88.1875,132.96
2,0,88.1875,132.95
2,0,88.1875,132.77
2,0,6.5,9.6
2,0,6.5,8.65
2,0,6.5,8.45
2,0,6.5,8.27
2,0,6.5,7.09
2,0,29.3125,46.88
2,0,29.3125,43.09
2,0,29.3125,42.93
2,0,29.3125,41.3
2,0,29.3125,40.43
2,0,58.6875,92.64
2,0,58.6875,90.78
2,0,58.6875,89.82
2,0,58.6875,89.62
2,0,58.6875,88.47
2,0,58.6875,86.98
2,0,88,135.3
2,0,88,134.95
2,0,88,134.21
2,0,88,133.62
2,0,88,133.49
2,10,6.5625,10.22
2,10,6.5625,9.64
2,10,6.5625,7.06
2,10,6.5625,6.99
2,10,6.5625,6.16
2,10,29.375,43.73
2,10,29.375,43.57
2,10,29.375,41.48
2,10,29.375,41.1
2,10,29.375,40
2,10,58.8125,92.04
2,10,58.8125,91.55
2,10,58.8125,89.45
2,10,58.8125,84.53
2,10,88.1875,133.86
2,10,88.1875,132.77
2,10,88.1875,132.09
2,10,88.1875,131.41
2,10,88.1875,131.34
2,10,6.5,9.5
2,10,6.5,8.5
2,10,6.5,8.45
2,10,6.5,8.25
2,10,6.5,6.84
2,10,29.3125,42.53
2,10,29.3125,42.11
2,10,29.3125,41.9
2,10,29.3125,41.78
2,10,29.3125,40.23
2,10,58.6875,90.64
2,10,58.6875,90.26
2,10,58.6875,89.31
2,10,58.6875,89.11
2,10,58.6875,87.68
2,10,58.6875,84.06
2,10,88,134.12
2,10,88,134.09
2,10,88,133.1
2,10,88,132.32
2,10,88,132.15
2,20,6.5625,12.69
2,20,6.5625,6.76
2,20,29.375,42.42
2,20,29.375,41.28
2,20,58.8125,94.34
2,20,58.8125,86.56
2,20,58.8125,86.39
2,20,58.8125,84.59
2,20,58.8125,84.43
2,20,88.1875,131.64
2,20,88.1875,131.06
2,20,88.1875,130.57
2,20,88.1875,130.5
2,20,88.1875,127.41
2,20,6.5,8.34
2,20,6.5,8.28
2,20,6.5,8.21
2,20,6.5,8.1
2,20,6.5,7.55
2,20,6.5,7.12
2,20,29.3125,42.51
