diameter,direction,tilt,cos_tilt,steps,stepper_travel,measured_angle,avg_offset,ideal_rnp_angle,k_rod,k_rod_avg,c_rod,predicted_angle,error
2,ccw,0,1,6.5625,0.1666875,10.03,-1.216,19.1009805,0.525103934,0.534,-0.431,9.768923584,-0.261076416
2,ccw,0,1,6.5625,0.1666875,9.69,-1.216,19.1009805,0.507303801,0.534,-0.431,9.768923584,0.078923584
2,ccw,0,1,6.5625,0.1666875,7.04,-1.216,19.1009805,0.368567467,0.534,-0.431,9.768923584,2.728923584
2,ccw,0,1,6.5625,0.1666875,6.95,-1.216,19.1009805,0.363855667,0.534,-0.431,9.768923584,2.818923584
2,ccw,0,1,6.5625,0.1666875,6.23,-1.216,19.1009805,0.326161267,0.534,-0.431,9.768923584,3.538923584
2,ccw,0,1,29.375,0.746125,45.47,-1.216,85.49962698,0.531815186,0.534,-0.431,45.22580081,-0.244199194
2,ccw,0,1,29.375,0.746125,43.85,-1.216,85.49962698,0.512867735,0.534,-0.431,45.22580081,1.375800806
2,ccw,0,1,29.375,0.746125,43.74,-1.216,85.49962698,0.511581179,0.534,-0.431,45.22580081,1.485800806
2,ccw,0,1,29.375,0.746125,42.56,-1.216,85.49962698,0.49777995,0.534,-0.431,45.22580081,2.665800806
2,ccw,0,1,29.375,0.746125,39.24,-1.216,85.49962698,0.458949371,0.534,-0.431,45.22580081,5.985800806
2,ccw,0,1,58.8125,1.4938375,91.13,-1.216,171.1811681,0.532359961,0.534,-0.431,90.97974374,-0.150256258
2,ccw,0,1,58.8125,1.4938375,90.68,-1.216,171.1811681,0.529731167,0.534,-0.431,90.97974374,0.299743742
2,ccw,0,1,58.8125,1.4938375,89.73,-1.216,171.1811681,0.524181492,0.534,-0.431,90.97974374,1.249743742
2,ccw,0,1,58.8125,1.4938375,86.24,-1.216,171.1811681,0.503793735,0.534,-0.431,90.97974374,4.739743742
2,ccw,0,1,88.1875,2.2399625,134.76,-1.216,256.680795,0.525010062,0.534,-0.431,136.6365445,1.876544549
2,ccw,0,1,88.1875,2.2399625,134.25,-1.216,256.680795,0.523023158,0.534,-0.431,136.6365445,2.386544549
2,ccw,0,1,88.1875,2.2399625,132.96,-1.216,256.680795,0.517997461,0.534,-0.431,136.6365445,3.676544549
2,ccw,0,1,88.1875,2.2399625,132.95,-1.216,256.680795,0.517958502,0.534,-0.431,136.6365445,3.686544549
2,ccw,0,1,88.1875,2.2399625,132.77,-1.216,256.680795,0.517257242,0.534,-0.431,136.6365445,3.866544549
2,cw,0,1,6.5,0.1651,9.6,-1.216,18.9190664,0.507424616,0.534,-0.431,9.671781455,0.071781455
2,cw,0,1,6.5,0.1651,8.65,-1.216,18.9190664,0.457210722,0.534,-0.431,9.671781455,1.021781455
2,cw,0,1,6.5,0.1651,8.45,-1.216,18.9190664,0.446639376,0.534,-0.431,9.671781455,1.221781455
2,cw,0,1,6.5,0.1651,8.27,-1.216,18.9190664,0.437125164,0.534,-0.431,9.671781455,1.401781455
2,cw,0,1,6.5,0.1651,7.09,-1.216,18.9190664,0.374754222,0.534,-0.431,9.671781455,2.581781455
2,cw,0,1,29.3125,0.7445375,46.88,-1.216,85.31771288,0.549475583,0.534,-0.431,45.12865868,-1.751341323
2,cw,0,1,29.3125,0.7445375,43.09,-1.216,85.31771288,0.505053389,0.534,-0.431,45.12865868,2.038658677
