diameter,direction,tilt,cos_tilt,steps,stepper_travel,measured_angle,a/s,m_wire,c_wire,predicted_angle,error
0.2,ccw,0,1,10,0.254,7.75,0.775,1.362,-5.952,13.62,5.87
0.2,ccw,0,1,10,0.254,6.26,0.626,1.362,-5.952,13.62,7.36
0.2,ccw,0,1,15,0.381,14.11,0.940666667,1.362,-5.952,20.43,6.32
0.2,ccw,0,1,15,0.381,16.15,1.076666667,1.362,-5.952,20.43,4.28
0.2,ccw,0,1,20,0.508,23.38,1.169,1.362,-5.952,27.24,3.86
0.2,ccw,0,1,20,0.508,22.98,1.149,1.362,-5.952,27.24,4.26
0.2,ccw,0,1,25,0.635,31.92,1.2768,1.362,-5.952,34.05,2.13
0.2,ccw,0,1,25,0.635,25.23,1.0092,1.362,-5.952,34.05,8.82
0.2,ccw,0,1,30,0.762,32.21,1.073666667,1.362,-5.952,40.86,8.65
0.2,ccw,0,1,30,0.762,31.89,1.063,1.362,-5.952,40.86,8.97
0.2,ccw,0,1,30,0.762,41.02,1.367333333,1.362,-5.952,40.86,-0.16
0.2,cw,0,1,10,0.254,8.53,0.853,1.362,-5.952,13.62,5.09
0.2,cw,0,1,10,0.254,7.79,0.779,1.362,-5.952,13.62,5.83
0.2,cw,0,1,10,0.254,7.64,0.764,1.362,-5.952,13.62,5.98
0.2,cw,0,1,15,0.381,12.76,0.850666667,1.362,-5.952,20.43,7.67
0.2,cw,0,1,15,0.381,14.28,0.952,1.362,-5.952,20.43,6.15
0.2,cw,0,1,15,0.381,17.4,1.16,1.362,-5.952,20.43,3.03
0.2,cw,0,1,20,0.508,22.83,1.1415,1.362,-5.952,27.24,4.41
0.2,cw,0,1,20,0.508,23.01,1.1505,1.362,-5.952,27.24,4.23
0.2,cw,0,1,20,0.508,22.84,1.142,1.362,-5.952,27.24,4.4
0.2,cw,0,1,25,0.635,31.91,1.2764,1.362,-5.952,34.05,2.14
0.2,cw,0,1,25,0.635,28.19,1.1276,1.362,-5.952,34.05,5.86
0.2,cw,0,1,25,0.635,28.07,1.1228,1.362,-5.952,34.05,5.98
0.2,cw,0,1,30,0.762,38.01,1.267,1.362,-5.952,40.86,2.85
0.2,cw,0,1,30,0.762,36.76,1.225333333,1.362,-5.952,40.86,4.1
0.2,cw,0,1,30,0.762,41.09,1.369666667,1.362,-5.952,40.86,-0.23
0.5,ccw,0,1,10,0.254,11.1,1.11,1.362,-5.952,13.62,2.52
0.5,ccw,0,1,10,0.254,11.73,1.173,1.362,-5.952,13.62,1.89
0.5,ccw,0,1,10,0.254,9.31,0.931,1.362,-5.952,13.62,4.31
0.5,ccw,0,1,20,0.508,22.79,1.1395,1.362,-5.952,27.24,4.45
0.5,ccw,0,1,20,0.508,19.78,0.989,1.362,-5.952,27.24,7.46
0.5,ccw,0,1,30,0.762,37.74,1.258,1.362,-5.952,40.86,3.12
0.5,ccw,0,1,30,0.762,37.63,1.254333333,1.362,-5.952,40.86,3.23
0.5,ccw,0,1,15,0.381,15.92,1.061333333,1.362,-5.952,20.43,4.51
0.5,ccw,0,1,15,0.381,18.05,1.203333333,1.362,-5.952,20.43,2.38
0.5,ccw,0,1,25,0.635,29.32,1.1728,1.362,-5.952,34.05,4.73
0.5,ccw,0,1,25,0.635,26.67,1.0668,1.362,-5.952,34.05,7.38
0.5,cw,0,1,10,0.254,9.08,0.908,1.362,-5.952,13.62,4.54
0.5,cw,0,1,10,0.254,8.35,0.835,1.362,-5.952,13.62,5.27
0.5,cw,0,1,20,0.508,23.22,1.161,1.362,-5.952,27.24,4.02
0.5,cw,0,1,20,0.508,20.54,1.027,1.362,-5.952,27.24,6.7
0.5,cw,0,1,20,0.508,20.85,1.0425,1.362,-5.952,27.24,6.39
0.5,cw,0,1,30,0.762,36.34,1.211333333,1.362,-5.952,40.86,4.52
0.5,cw,0,1,30,0.762,39.01,1.300333333,1.362,-5.952,40.86,1.85
0.5,cw,0,1,30,0.762,38.59,1.286333333,1.362,-5.952,40.86,2.27
0.5,cw,0,1,15,0.381,15.18,1.012,1.362,-5.952,20.43,5.25
0.5,cw,0,1,15,0.381,19.07,1.271333333,1.362,-5.952,20.43,1.36
0.5,cw,0,1,15,0.381,14.88,0.992,1.362,-5.952,20.43,5.55
0.5,cw,0,1,25,0.635,29.14,1.1656,1.362,-5.952,34.05,4.91
0.5,cw,0,1,25,0.635,28.93,1.1572,1.362,-5.952,34.05,5.12
0.5,cw,0,1,25,0.635,28.35,1.134,1.362,-5.952,34.05,5.7
1,ccw,0,1,10,0.254,6.92,0.692,1.362,-5.952,13.62,6.7
1,ccw,0,1,15,0.381,11.02,0.734666667,1.362,-5.952,20.43,9.41
1,ccw,0,1,15,0.381,14.23,0.948666667,1.362,-5.952,20.43,6.2
1,ccw,0,1,20,0.508,15.44,0.772,1.362,-5.952,27.24,11.8
1,ccw,0,1,20,0.508,16.35,0.8175,1.362,-5.952,27.24,10.89
1,ccw,0,1,20,0.508,17.4,0.87,1.362,-5.952,27.24,9.84
1,ccw,0,1,25,0.635,24.11,0.9644,1.362,-5.952,34.05,9.94
1,ccw,0,1,25,0.635,21.02,0.8408,1.362,-5.952,34.05,13.03
1,ccw,0,1,30,0.762,31.67,1.055666667,1.362,-5.952,40.86,9.19
1,ccw,0,1,30,0.762,29.74,0.991333333,1.362,-5.952,40.86,11.12
1,cw,0,1,10,0.254,7.93,0.793,1.362,-5.952,13.62,5.69
1,cw,0,1,10,0.254,8.72,0.872,1.362,-5.952,13.62,4.9
1,cw,0,1,10,0.254,6.39,0.639,1.362,-5.952,13.62,7.23
1,cw,0,1,10,0.254,6.34,0.634,1.362,-5.952,13.62,7.28
1,cw,0,1,15,0.381,12.97,0.864666667,1.362,-5.952,20.43,7.46
1,cw,0,1,15,0.381,13.66,0.910666667,1.362,-5.952,20.43,6.77
1,cw,0,1,15,0.381,10.56,0.704,1.362,-5.952,20.43,9.87
1,cw,0,1,20,0.508,16.42,0.821,1.362,-5.952,27.24,10.82
1,cw,0,1,20,0.508,15.74,0.787,1.362,-5.952,27.24,11.5
1,cw,0,1,25,0.635,27.88,1.1152,1.362,-5.952,34.05,6.17
1,cw,0,1,25,0.635,22.75,0.91,1.362,-5.952,34.05,11.3
1,cw,0,1,25,0.635,24.61,0.9844,1.362,-5.952,34.05,9.44
1,cw,0,1,30,0.762,35.73,1.191,1.362,-5.952,40.86,5.13
1,cw,0,1,30,0.762,34.97,1.165666667,1.362,-5.952,40.86,5.89
1,cw,0,1,30,0.762,33.11,1.103666667,1.362,-5.952,40.86,7.75
