diameter,direction,tilt,cos_tilt,steps,stepper_travel,measured_angle,k_wire,c_wire,predicted_angle,error,adj_predicted_angle,adj_error
1,ccw,0,1,10,0.254,6.92,1.362,-5.952,7.668,0.748,7.668,0.748
1,ccw,0,1,15,0.381,11.02,1.362,-5.952,14.478,3.458,14.478,3.458
1,ccw,0,1,15,0.381,14.23,1.362,-5.952,14.478,0.248,14.478,0.248
1,ccw,0,1,20,0.508,15.44,1.362,-5.952,21.288,5.848,21.288,5.848
1,ccw,0,1,20,0.508,16.35,1.362,-5.952,21.288,4.938,21.288,4.938
1,ccw,0,1,20,0.508,17.4,1.362,-5.952,21.288,3.888,21.288,3.888
1,ccw,0,1,25,0.635,24.11,1.362,-5.952,28.098,3.988,28.098,3.988
1,ccw,0,1,25,0.635,21.02,1.362,-5.952,28.098,7.078,28.098,7.078
1,ccw,0,1,30,0.762,31.67,1.362,-5.952,34.908,3.238,34.908,3.238
1,ccw,0,1,30,0.762,29.74,1.362,-5.952,34.908,5.168,34.908,5.168
1,cw,0,1,10,0.254,7.93,1.362,-5.952,7.668,-0.262,7.668,-0.262
1,cw,0,1,10,0.254,8.72,1.362,-5.952,7.668,-1.052,7.668,-1.052
1,cw,0,1,10,0.254,6.39,1.362,-5.952,7.668,1.278,7.668,1.278
1,cw,0,1,10,0.254,6.34,1.362,-5.952,7.668,1.328,7.668,1.328
1,cw,0,1,15,0.381,12.97,1.362,-5.952,14.478,1.508,14.478,1.508
1,cw,0,1,15,0.381,13.66,1.362,-5.952,14.478,0.818,14.478,0.818
1,cw,0,1,15,0.381,10.56,1.362,-5.952,14.478,3.918,14.478,3.918
1,cw,0,1,20,0.508,16.42,1.362,-5.952,21.288,4.868,21.288,4.868
1,cw,0,1,20,0.508,15.74,1.362,-5.952,21.288,5.548,21.288,5.548
1,cw,0,1,25,0.635,27.88,1.362,-5.952,28.098,0.218,28.098,0.218
1,cw,0,1,25,0.635,22.75,1.362,-5.952,28.098,5.348,28.098,5.348
1,cw,0,1,25,0.635,24.61,1.362,-5.952,28.098,3.488,28.098,3.488
1,cw,0,1,30,0.762,35.73,1.362,-5.952,34.908,-0.822,34.908,-0.822
1,cw,0,1,30,0.762,34.97,1.362,-5.952,34.908,-0.062,34.908,-0.062
1,cw,0,1,30,0.762,33.11,1.362,-5.952,34.908,1.798,34.908,1.798
1,cw,10,0.984807753,10,0.254,7.17,1.362,-5.952,7.668,0.498,7.461081596,0.291081596
1,ccw,10,0.984807753,10,0.254,5.31,1.362,-5.952,7.668,2.358,7.461081596,2.151081596
1,cw,10,0.984807753,10,0.254,6.53,1.362,-5.952,7.668,1.138,7.461081596,0.931081596
1,ccw,10,0.984807753,10,0.254,6.01,1.362,-5.952,7.668,1.658,7.461081596,1.451081596
