timestamp,elapsed_time_s,abs_fz_N
2025-09-08 23:52:14.249,0.006,0.007538
2025-09-08 23:52:14.256,0.013,0.000609
2025-09-08 23:52:14.263,0.020,0.000512
2025-09-08 23:52:14.270,0.027,0.004559
2025-09-08 23:52:14.277,0.034,0.003428
2025-09-08 23:52:14.284,0.041,0.004000
2025-09-08 23:52:14.291,0.048,0.000037
2025-09-08 23:52:14.298,0.055,0.002511
2025-09-08 23:52:14.305,0.062,0.004270
2025-09-08 23:52:14.312,0.069,0.003718
2025-09-08 23:52:14.319,0.076,0.002833
2025-09-08 23:52:14.326,0.083,0.004472
2025-09-08 23:52:14.333,0.090,0.002927
2025-09-08 23:52:14.340,0.097,0.002735
2025-09-08 23:52:14.347,0.104,0.003242
2025-09-08 23:52:14.354,0.111,0.003544
2025-09-08 23:52:14.361,0.118,0.003286
2025-09-08 23:52:14.368,0.125,0.000298
2025-09-08 23:52:14.375,0.132,0.003267
2025-09-08 23:52:14.382,0.139,0.004270
2025-09-08 23:52:14.389,0.146,0.001087
2025-09-08 23:52:14.396,0.153,0.004552
2025-09-08 23:52:14.403,0.160,0.000512
2025-09-08 23:52:14.410,0.167,0.007755
2025-09-08 23:52:14.417,0.174,0.004505
2025-09-08 23:52:14.425,0.182,0.000512
2025-09-08 23:52:14.432,0.189,0.004313
2025-09-08 23:52:14.439,0.196,0.003072
2025-09-08 23:52:14.446,0.203,0.003954
2025-09-08 23:52:14.453,0.210,0.007755
2025-09-08 23:52:14.460,0.216,0.008092
2025-09-08 23:52:14.467,0.223,0.004515
2025-09-08 23:52:14.474,0.230,0.007991
2025-09-08 23:52:14.481,0.237,0.003220
2025-09-08 23:52:14.488,0.244,0.003478
2025-09-08 23:52:14.495,0.251,0.012321
2025-09-08 23:52:14.502,0.258,0.004549
2025-09-08 23:52:14.509,0.265,0.002562
2025-09-08 23:52:14.516,0.272,0.000740
2025-09-08 23:52:14.523,0.279,0.000224
2025-09-08 23:52:14.530,0.286,0.002477
2025-09-08 23:52:14.537,0.293,0.004549
2025-09-08 23:52:14.544,0.300,0.004291
2025-09-08 23:52:14.550,0.307,0.000794
2025-09-08 23:52:14.557,0.314,0.000004
2025-09-08 23:52:14.564,0.321,0.008229
2025-09-08 23:52:14.571,0.328,0.003307
2025-09-08 23:52:14.578,0.335,0.004700
2025-09-08 23:52:14.585,0.342,0.004700
2025-09-08 23:52:14.592,0.349,0.000747
2025-09-08 23:52:14.599,0.356,0.004505
2025-09-08 23:52:14.606,0.363,0.008185
2025-09-08 23:52:14.613,0.370,0.000751
2025-09-08 23:52:14.620,0.377,0.008294
2025-09-08 23:52:14.627,0.384,0.008519
2025-09-08 23:52:14.634,0.391,0.002975
2025-09-08 23:52:14.641,0.398,0.004501
2025-09-08 23:52:14.648,0.405,0.001201
2025-09-08 23:52:14.655,0.412,0.004189
2025-09-08 23:52:14.662,0.419,0.000283
2025-09-08 23:52:14.669,0.426,0.003028
2025-09-08 23:52:14.676,0.433,0.007538
2025-09-08 23:52:14.683,0.440,0.004515
2025-09-08 23:52:14.690,0.447,0.004266
2025-09-08 23:52:14.697,0.454,0.001483
2025-09-08 23:52:14.704,0.461,0.012208
2025-09-08 23:52:14.711,0.468,0.011563
2025-09-08 23:52:14.718,0.475,0.003482
2025-09-08 23:52:14.725,0.482,0.004700
2025-09-08 23:52:14.732,0.489,0.004471
2025-09-08 23:52:14.739,0.496,0.002792
2025-09-08 23:52:14.746,0.503,0.000468
2025-09-08 23:52:14.753,0.510,0.012001
2025-09-08 23:52:14.761,0.518,0.002783
2025-09-08 23:52:14.768,0.525,0.011487
2025-09-08 23:52:14.775,0.532,0.004226
2025-09-08 23:52:14.782,0.539,0.003341
2025-09-08 23:52:14.789,0.546,0.015480
2025-09-08 23:52:14.796,0.553,0.004457
2025-09-08 23:52:14.803,0.560,0.007947
2025-09-08 23:52:14.810,0.567,0.008410
2025-09-08 23:52:14.817,0.574,0.004744
2025-09-08 23:52:14.824,0.581,0.004052
2025-09-08 23:52:14.831,0.587,0.000250
2025-09-08 23:52:14.838,0.594,0.000414
