diameter,grip_strength,direction,steps,initial_angle,target_angle,measured_angle,error,tilt
2,0.6999,cw,58.6875,0,90,86.22,-3.78,0.0
2,0.6265,cw,58.6875,0,90,87.99,-2.01,0.0
2,0.6179,cw,58.6875,0,90,91.45,1.45,0.0
2,0.6102,cw,58.6875,0,90,87.96,-2.04,0.0
2,0.6393,cw,58.6875,0,90,86.04,-3.95,0.0
2,0.6417,cw,58.6875,0,90,89.48,-0.52,0.0
2,0.6628,cw,58.6875,0,90,88.09,-1.91,0.0
2,0.6322,cw,58.6875,0,90,88.6,-1.4,0.0
2,0.6392,cw,58.6875,0,90,91.44,1.44,0.0
2,0.5913,cw,58.6875,0,90,91.14,1.14,0.0
2,0.6664,cw,58.6875,0,90,85.74,-4.26,0.0
2,0.6279,cw,58.6875,0,90,85.97,-4.03,0.0
2,0.6289,cw,58.6875,0,90,86.68,-3.32,0.0
2,0.6113,cw,58.6875,0,90,86.2,-3.8,0.0
2,0.6100,cw,58.6875,0,90,91.25,1.25,0.0
2,0.6378,cw,58.6875,0.0,90,84.45,-5.55,0.0
2,0.6327,cw,58.6875,0.0,90,92.13,2.13,0.0
2,0.667,ccw,58.8125,0.0,90,83.2,-6.8,30
2,0.6501,cw,58.6875,270.0,90,80.35,-9.65,30
2,0.6453,cw,58.6875,270.0,90,82.27,-7.73,30
2,0.6844,cw,58.6875,90.0,90,84.87,-5.13,30
2,0.6649,cw,58.6875,270.0,90,82.85,-7.15,30.0
2,0.6729,cw,58.6875,180.0,90,81.56,-8.44,30.0
2,0.675,cw,58.6875,90.0,90,83.76,-6.24,30.0
2,0.6644,cw,58.6875,360.0,90,82.9,-7.1,30.0
2,0.6701,ccw,58.8125,180.0,90,98.85,8.85,30.0
2,0.6476,ccw,58.8125,0.0,90,84.41,-5.59,30.0
2,0.6824,ccw,58.8125,180.0,90,95.47,5.47,30.0
2,0.6901,ccw,58.8125,0.0,90,81.08,-8.92,30.0
2,0.6625,cw,58.6875,270,90,85.11,-4.89,30
2,0.7608,cw,58.6875,180,90,84.08,-5.92,30
2,0.8172,cw,58.6875,90,90,83.65,-6.35,30
2,0.6874,cw,58.6875,0,90,84.02,-5.98,30
2,0.7181,cw,58.6875,270,90,81.52,-8.48,30
2,0.7065,ccw,58.8125,0,90,82.19,-7.81,30
2,0.7085,cw,58.6875,90.0,90,81.05,-8.95,30.0
2,0.6892,ccw,58.8125,0.0,90,80.09,-9.91,30.0
2,0.7308,cw,58.6875,90.0,90,82.72,-7.28,30.0
2,0.7544,ccw,58.8125,0.0,90,82.6,-7.4,30.0
2,0.7818,cw,29.3125,45.0,45,40.79,-4.21,30.0
2,0.7202,cw,29.3125,90.0,45,37.44,-7.56,30.0
2,0.7538,cw,29.3125,135.0,45,38.68,-6.32,30.0
2,0.7595,cw,29.3125,45.0,45,39.22,-5.78,30.0
2,0.6874,cw,29.3125,90.0,45,37.61,-7.39,30.0
2,0.7154,cw,29.3125,135.0,45,38.64,-6.36,30.0
2,0.7867,cw,29.3125,180.0,45,39.83,-5.17,30.0
2,0.7156,cw,29.3125,225.0,45,36.78,-8.22,30.0
2,0.7152,cw,29.3125,270.0,45,38.06,-6.94,30.0
2,0.7023,cw,29.3125,315.0,45,39.92,-5.08,30.0
2,0.7361,cw,29.3125,360.0,45,36.95,-8.05,30.0
