diameter,speed,step,angle,direction
0.5,50,10,9.08,cw
0.5,50,10,11.1,ccw
0.5,50,10,8.35,cw
0.5,50,10,11.73,ccw
0.5,50,10,9.31,ccw
0.5,50,20,23.22,cw
0.5,50,20,22.79,ccw
0.5,50,20,19.78,ccw
0.5,50,20,20.54,cw
0.5,50,20,20.85,cw
0.5,50,30,36.34,cw
0.5,50,30,37.74,ccw
0.5,50,30,39.01,cw
0.5,50,30,37.63,ccw
0.5,50,30,38.59,cw
0.5,50,15,15.18,cw
0.5,50,15,19.07,cw
0.5,50,15,15.92,ccw
0.5,50,15,18.05,ccw
0.5,50,15,14.88,cw
0.5,50,25,29.14,cw
0.5,50,25,29.32,ccw
0.5,50,25,26.67,ccw
0.5,50,25,28.93,cw
0.5,50,25,28.35,cw
0.2,50,10,7.45,cw
0.2,50,10,10.77,ccw
0.2,50,10,11.07,cw
0.2,50,10,11.4,ccw
0.2,50,10,10.26,cw
0.2,50,20,17.95,cw
0.2,50,20,17.08,ccw
0.2,50,20,16.67,cw
0.2,50,20,17.57,ccw
0.2,50,20,16.69,cw
0.2,50,30,26.89,cw
0.2,50,30,25.71,ccw
0.2,50,30,25.63,cw
0.2,50,30,27.1,cw
0.2,50,30,26.54,ccw
0.2,50,25,20.52,ccw
0.2,50,25,21.99,cw
0.2,50,25,23.37,ccw
0.2,50,25,22.09,cw
0.2,50,25,25.33,ccw
0.2,50,15,12.4,cw
0.2,50,15,13.09,cw
0.2,50,15,11.6,ccw
0.2,50,15,14.99,ccw
0.2,50,15,12.26,cw
1.0,50,10,7.93,cw
1.0,50,10,6.92,ccw
1.0,50,10,8.72,cw
1.0,50,10,6.39,cw
1.0,50,10,6.34,cw
1.0,50,15,12.97,cw
1.0,50,15,13.66,cw
1.0,50,15,11.02,ccw
1.0,50,15,14.23,ccw
1.0,50,15,10.56,cw
1.0,50,20,15.44,ccw
1.0,50,20,16.42,cw
1.0,50,20,16.35,ccw
1.0,50,20,17.40,ccw
1.0,50,20,15.74,cw
1.0,50,25,27.88,cw
1.0,50,25,24.11,ccw
1.0,50,25,21.02,ccw
1.0,50,25,22.75,cw
1.0,50,25,24.61,cw
1.0,50,30,35.73,cw
1.0,50,30,31.67,ccw
1.0,50,30,29.74,ccw
1.0,50,30,34.97,cw
1.0,50,30,33.11,cw
