diameter,speed,step,angle,direction
3,50,10,10.55,cw
3,50,10,10.58,ccw
3,50,10,10.71,cw
3,50,50,48.83,cw
3,50,50,48.26,ccw
3,50,50,47.85,cw
3,50,100,99.76,cw
3,50,100,101.25,ccw
3,50,100,100.43,cw
3,50,150,150.72,cw
3,50,150,152.59,ccw
3,50,150,152.97,cw
3,50,200,202.76,cw
3,50,200,200.73,ccw
3,50,200,200.91,cw
3,100,10,8.75,cw
3,100,10,7.62,ccw
3,100,10,7.59,cw
3,100,50,46.07,cw
3,100,50,48.18,ccw
3,100,50,48.91,cw
3,100,100,98.21,cw
3,100,100,99.53,ccw
3,100,100,97.35,cw
3,100,150,150.29,cw
3,100,150,148.19,ccw
3,100,150,148.24,cw
3,100,200,201.14,cw
3,100,200,200.69,ccw
3,100,200,200.95,cw
3,50,10,10.71,cw
3,50,10,10.87,ccw
3,50,10,10.91,cw
3,50,50,50.97,cw
3,50,50,48.11,ccw
3,50,50,49.05,cw
3,50,100,102.33,cw
3,50,100,101.37,ccw
3,50,100,99.87,cw
3,50,150,151.45,cw
3,50,150,152.82,ccw
3,50,150,151.41,cw
3,50,200,202.18,cw
3,50,200,200.15,ccw
3,50,200,200.32,cw
3,100,10,8.66,cw
3,100,10,7.79,ccw
3,100,10,7.82,cw
3,100,50,48.31,cw
3,100,50,50.09,ccw
3,100,50,48.47,cw
3,100,100,98.17,cw
3,100,100,100.49,ccw
3,100,100,100.49,cw
3,100,150,149.93,cw
3,100,150,149.88,ccw
3,100,150,150.11,cw
3,100,200,200.34,cw
3,100,200,200.37,ccw
3,100,200,200.27,cw
2,50,10,13.49,cw
2,50,10,12.69,ccw
2,50,10,15.01,cw
2,50,50,75.34,cw
2,50,50,75.79,ccw
2,50,50,75.94,cw
2,50,100,152.91,cw
2,50,100,150.66,ccw
2,50,100,150.68,cw
2,50,200,305.84,cw
2,50,200,304.94,ccw
2,50,200,305.35,cw
2,50,10,16.17,cw
2,50,10,15.91,ccw
2,50,10,15.74,cw
2,50,50,77.17,cw
2,50,50,76.79,ccw
2,50,50,77.21,cw
2,50,100,150.74,cw
2,50,100,150.64,ccw
2,50,100,149.59,cw
2,50,200,306.11,cw
2,50,200,307.85,ccw
2,50,200,307.07,cw
5,50,10,6.59,cw
5,50,10,4.71,ccw
5,50,10,4.71,cw
5,50,50,30.21,cw
5,50,50,29.21,ccw
5,50,50,29.03,cw
5,50,100,61.01,cw
5,50,100,60.68,ccw
5,50,100,59.77,cw
5,50,200,120.51,cw
5,50,200,120.47,ccw
5,50,200,121.56,cw
5,50,10,4.89,cw
5,50,10,4.82,ccw
5,50,10,4.77,cw
5,50,50,29.08,cw
5,50,50,29.54,ccw
5,50,50,29.14,cw
5,50,100,59.92,cw
5,50,100,60.95,ccw
5,50,100,59.97,cw
5,50,200,120.95,cw
5,50,200,120.23,ccw
5,50,200,120.96,cw
4,50,10,7.04,cw
4,50,10,5.92,ccw
4,50,10,6.02,cw
4,50,50,38.55,cw
4,50,50,37.66,ccw
4,50,50,37.94,cw
4,50,100,76.93,cw
4,50,100,78.12,ccw
4,50,100,76.86,cw
4,50,200,155.23,cw
4,50,200,155.26,ccw
4,50,200,155.24,cw
4,50,10,6.75,cw
4,50,10,8.62,ccw
4,50,10,8.96,cw
4,50,50,37.21,cw
4,50,50,39.13,ccw
4,50,50,39.34,cw
4,50,100,76.33,cw
4,50,100,76.48,ccw
4,50,100,76.42,cw
4,50,200,155.07,cw
4,50,200,154.84,ccw
4,50,200,155.15,cw
