diameter,direction,tilt,steps,stepper_travel,measured_angle,predicted_angle,error
0.2,ccw,0,10,0.254,7.75,,
0.2,ccw,0,10,0.254,6.26,,
0.2,ccw,0,15,0.381,14.11,,
0.2,ccw,0,15,0.381,16.15,,
0.2,ccw,0,20,0.508,23.38,,
0.2,ccw,0,20,0.508,22.98,,
0.2,ccw,0,25,0.635,31.92,,
0.2,ccw,0,25,0.635,25.23,,
0.2,ccw,0,30,0.762,32.21,,
0.2,ccw,0,30,0.762,31.89,,
0.2,ccw,0,30,0.762,41.02,,
0.2,cw,0,10,0.254,8.53,,
0.2,cw,0,10,0.254,7.79,,
0.2,cw,0,10,0.254,7.64,,
0.2,cw,0,15,0.381,12.76,,
0.2,cw,0,15,0.381,14.28,,
0.2,cw,0,15,0.381,17.4,,
0.2,cw,0,20,0.508,22.83,,
0.2,cw,0,20,0.508,23.01,,
0.2,cw,0,20,0.508,22.84,,
0.2,cw,0,25,0.635,31.91,,
0.2,cw,0,25,0.635,28.19,,
0.2,cw,0,25,0.635,28.07,,
0.2,cw,0,30,0.762,38.01,,
0.2,cw,0,30,0.762,36.76,,
0.2,cw,0,30,0.762,41.09,,
0.5,ccw,0,10,0.254,11.1,,
0.5,ccw,0,10,0.254,11.73,,
0.5,ccw,0,10,0.254,9.31,,
0.5,ccw,0,20,0.508,22.79,,
0.5,ccw,0,20,0.508,19.78,,
0.5,ccw,0,30,0.762,37.74,,
0.5,ccw,0,30,0.762,37.63,,
0.5,ccw,0,15,0.381,15.92,,
0.5,ccw,0,15,0.381,18.05,,
0.5,ccw,0,25,0.635,29.32,,
0.5,ccw,0,25,0.635,26.67,,
0.5,cw,0,10,0.254,9.08,,
0.5,cw,0,10,0.254,8.35,,
0.5,cw,0,20,0.508,23.22,,
0.5,cw,0,20,0.508,20.54,,
0.5,cw,0,20,0.508,20.85,,
0.5,cw,0,30,0.762,36.34,,
0.5,cw,0,30,0.762,39.01,,
0.5,cw,0,30,0.762,38.59,,
0.5,cw,0,15,0.381,15.18,,
0.5,cw,0,15,0.381,19.07,,
0.5,cw,0,15,0.381,14.88,,
0.5,cw,0,25,0.635,29.14,,
0.5,cw,0,25,0.635,28.93,,
0.5,cw,0,25,0.635,28.35,,
1,ccw,0,10,0.254,6.92,,
1,ccw,0,15,0.381,11.02,,
1,ccw,0,15,0.381,14.23,,
1,ccw,0,20,0.508,15.44,,
1,ccw,0,20,0.508,16.35,,
1,ccw,0,20,0.508,17.4,,
1,ccw,0,25,0.635,24.11,,
1,ccw,0,25,0.635,21.02,,
1,ccw,0,30,0.762,31.67,,
1,ccw,0,30,0.762,29.74,,
1,cw,0,10,0.254,7.93,,
1,cw,0,10,0.254,8.72,,
1,cw,0,10,0.254,6.39,,
1,cw,0,10,0.254,6.34,,
1,cw,0,15,0.381,12.97,,
1,cw,0,15,0.381,13.66,,
1,cw,0,15,0.381,10.56,,
1,cw,0,20,0.508,16.42,,
1,cw,0,20,0.508,15.74,,
1,cw,0,25,0.635,27.88,,
1,cw,0,25,0.635,22.75,,
1,cw,0,25,0.635,24.61,,
1,cw,0,30,0.762,35.73,,
1,cw,0,30,0.762,34.97,,
1,cw,0,30,0.762,33.11,,
2,ccw,0,6.5625,0.1666875,10.03,,
2,ccw,0,6.5625,0.1666875,9.69,,
2,ccw,0,6.5625,0.1666875,7.04,,
2,ccw,0,6.5625,0.1666875,6.95,,
2,ccw,0,6.5625,0.1666875,6.23,,
2,ccw,0,29.375,0.746125,45.47,,
2,ccw,0,29.375,0.746125,43.85,,
2,ccw,0,29.375,0.746125,43.74,,
2,ccw,0,29.375,0.746125,42.56,,
2,ccw,0,29.375,0.746125,39.24,,
2,ccw,0,58.8125,1.4938375,91.13,,
2,ccw,0,58.8125,1.4938375,90.68,,
2,ccw,0,58.8125,1.4938375,89.73,,
2,ccw,0,58.8125,1.4938375,86.24,,
2,ccw,0,88.1875,2.2399625,134.76,,
2,ccw,0,88.1875,2.2399625,134.25,,
2,ccw,0,88.1875,2.2399625,132.96,,
2,ccw,0,88.1875,2.2399625,132.95,,
2,ccw,0,88.1875,2.2399625,132.77,,
2,cw,0,6.5,0.1651,9.6,,
2,cw,0,6.5,0.1651,8.65,,
2,cw,0,6.5,0.1651,8.45,,
2,cw,0,6.5,0.1651,8.27,,
2,cw,0,6.5,0.1651,7.09,,
2,cw,0,29.3125,0.7445375,46.88,,
2,cw,0,29.3125,0.7445375,43.09,,
2,cw,0,29.3125,0.7445375,42.93,,
2,cw,0,29.3125,0.7445375,41.3,,
2,cw,0,29.3125,0.7445375,40.43,,
2,cw,0,58.6875,1.4906625,92.64,,
2,cw,0,58.6875,1.4906625,90.78,,
2,cw,0,58.6875,1.4906625,89.82,,
2,cw,0,58.6875,1.4906625,89.62,,
2,cw,0,58.6875,1.4906625,88.47,,
2,cw,0,58.6875,1.4906625,86.98,,
2,cw,0,88,2.2352,135.3,,
2,cw,0,88,2.2352,134.95,,
2,cw,0,88,2.2352,134.21,,
2,cw,0,88,2.2352,133.62,,
2,cw,0,88,2.2352,133.49,,
3,ccw,0,9.9375,0.2524125,10.68,,
3,ccw,0,9.9375,0.2524125,7.79,,
3,ccw,0,9.9375,0.2524125,7.77,,
3,ccw,0,9.9375,0.2524125,7.69,,
3,ccw,0,9.9375,0.2524125,7.64,,
3,ccw,0,44.75,1.13665,45.33,,
3,ccw,0,44.75,1.13665,45.18,,
3,ccw,0,44.75,1.13665,44.62,,
3,ccw,0,44.75,1.13665,44.2,,
3,ccw,0,44.75,1.13665,43.63,,
3,ccw,0,89.5,2.2733,90.71,,
3,ccw,0,89.5,2.2733,90.35,,
3,ccw,0,89.5,2.2733,88.68,,
3,ccw,0,89.5,2.2733,87.31,,
3,ccw,0,134.25,3.40995,137.92,,
3,ccw,0,134.25,3.40995,134.96,,
3,ccw,0,134.25,3.40995,134.92,,
3,ccw,0,134.25,3.40995,134.85,,
3,ccw,0,134.25,3.40995,134.84,,
3,ccw,0,134.25,3.40995,134.8,,
3,cw,0,9.875,0.250825,10.59,,
3,cw,0,9.875,0.250825,8.75,,
3,cw,0,9.875,0.250825,8.1,,
3,cw,0,9.875,0.250825,7.7,,
3,cw,0,9.875,0.250825,7.65,,
3,cw,0,44.5,1.1303,45.09,,
3,cw,0,44.5,1.1303,44.63,,
3,cw,0,44.5,1.1303,44.35,,
3,cw,0,44.5,1.1303,44.1,,
3,cw,0,44.5,1.1303,43.01,,
3,cw,0,88.9375,2.2590125,90.68,,
3,cw,0,88.9375,2.2590125,89.73,,
3,cw,0,88.9375,2.2590125,88.58,,
3,cw,0,88.9375,2.2590125,88.31,,
3,cw,0,88.9375,2.2590125,88.1,,
3,cw,0,88.9375,2.2590125,87.56,,
3,cw,0,133.4375,3.3893125,136.03,,
3,cw,0,133.4375,3.3893125,135.03,,
3,cw,0,133.4375,3.3893125,134.13,,
3,cw,0,133.4375,3.3893125,133.69,,
3,cw,0,133.4375,3.3893125,132.66,,
4,ccw,0,12.9375,0.3286125,9.11,,
4,ccw,0,12.9375,0.3286125,9.02,,
4,ccw,0,12.9375,0.3286125,8.93,,
4,ccw,0,12.9375,0.3286125,8.9,,
4,ccw,0,12.9375,0.3286125,8.82,,
4,ccw,0,58.1875,1.4779625,44.18,,
4,ccw,0,58.1875,1.4779625,43.87,,
4,ccw,0,58.1875,1.4779625,42.97,,
4,ccw,0,58.1875,1.4779625,42.46,,
4,ccw,0,58.1875,1.4779625,42.33,,
4,ccw,0,116.375,2.955925,88.86,,
4,ccw,0,116.375,2.955925,88.86,,
4,ccw,0,116.375,2.955925,87.26,,
4,ccw,0,116.375,2.955925,87.21,,
4,ccw,0,116.375,2.955925,86.24,,
4,ccw,0,174.5,4.4323,133.25,,
4,ccw,0,174.5,4.4323,133.14,,
4,ccw,0,174.5,4.4323,132.96,,
4,ccw,0,174.5,4.4323,132.79,,
4,ccw,0,174.5,4.4323,130.99,,
4,cw,0,12.75,0.32385,9.65,,
4,cw,0,12.75,0.32385,8.94,,
4,cw,0,12.75,0.32385,8.91,,
4,cw,0,12.75,0.32385,8.61,,
4,cw,0,12.75,0.32385,8.13,,
4,cw,0,57.4375,1.4589125,43.56,,
4,cw,0,57.4375,1.4589125,42.54,,
4,cw,0,57.4375,1.4589125,42.47,,
4,cw,0,57.4375,1.4589125,42.13,,
4,cw,0,57.4375,1.4589125,42.08,,
4,cw,0,114.875,2.917825,88.95,,
4,cw,0,114.875,2.917825,87.22,,
4,cw,0,114.875,2.917825,87.18,,
4,cw,0,114.875,2.917825,86.84,,
4,cw,0,114.875,2.917825,86.77,,
