diameter,direction,tilt,tilt_component,steps,stepper_travel,measured_angle,a/s,c_rod,avg_offset,ideal_rnp,k,k_avg,predicted_angle,error
2,ccw,0,1,6.5625,0.1666875,10.03,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,9.174933389,-0.855066611
2,ccw,0,1,6.5625,0.1666875,9.69,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,9.174933389,-0.515066611
2,ccw,0,1,6.5625,0.1666875,7.04,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,9.174933389,2.134933389
2,ccw,0,1,6.5625,0.1666875,6.95,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,9.174933389,2.224933389
2,ccw,0,1,6.5625,0.1666875,6.23,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,9.174933389,2.944933389
2,ccw,0,1,29.375,0.746125,45.47,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,45.29579708,-0.174202924
2,ccw,0,1,29.375,0.746125,43.85,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,45.29579708,1.445797076
2,ccw,0,1,29.375,0.746125,43.74,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,45.29579708,1.555797076
2,ccw,0,1,29.375,0.746125,42.56,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,45.29579708,2.735797076
2,ccw,0,1,29.375,0.746125,39.24,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,45.29579708,6.055797076
2,ccw,0,1,58.8125,1.4938375,91.13,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,91.90655542,0.776555423
2,ccw,0,1,58.8125,1.4938375,90.68,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,91.90655542,1.226555423
2,ccw,0,1,58.8125,1.4938375,89.73,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,91.90655542,2.176555423
2,ccw,0,1,58.8125,1.4938375,86.24,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,91.90655542,5.666555423
2,ccw,0,1,88.1875,2.2399625,134.76,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,138.4183525,3.658352499
2,ccw,0,1,88.1875,2.2399625,134.25,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,138.4183525,4.168352499
2,ccw,0,1,88.1875,2.2399625,132.96,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,138.4183525,5.458352499
2,ccw,0,1,88.1875,2.2399625,132.95,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,138.4183525,5.468352499
2,ccw,0,1,88.1875,2.2399625,132.77,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,138.4183525,5.648352499
2,cw,0,1,6.5,0.1651,9.6,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,9.075972119,-0.524027881
2,cw,0,1,6.5,0.1651,8.65,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,9.075972119,0.425972119
2,cw,0,1,6.5,0.1651,8.45,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,9.075972119,0.625972119
2,cw,0,1,6.5,0.1651,8.27,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,9.075972119,0.805972119
2,cw,0,1,6.5,0.1651,7.09,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,9.075972119,1.985972119
2,cw,0,1,29.3125,0.7445375,46.88,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,45.19683581,-1.683164194
2,cw,0,1,29.3125,0.7445375,43.09,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,45.19683581,2.106835806
2,cw,0,1,29.3125,0.7445375,42.93,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,45.19683581,2.266835806
2,cw,0,1,29.3125,0.7445375,41.3,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,45.19683581,3.896835806
2,cw,0,1,29.3125,0.7445375,40.43,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,45.19683581,4.766835806
2,cw,0,1,58.6875,1.4906625,92.64,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,91.70863288,-0.931367118
2,cw,0,1,58.6875,1.4906625,90.78,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,91.70863288,0.928632882
2,cw,0,1,58.6875,1.4906625,89.82,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,91.70863288,1.888632882
2,cw,0,1,58.6875,1.4906625,89.62,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,91.70863288,2.088632882
2,cw,0,1,58.6875,1.4906625,88.47,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,91.70863288,3.238632882
2,cw,0,1,58.6875,1.4906625,86.98,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,91.70863288,4.728632882
2,cw,0,1,88,2.2352,135.3,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,138.1214687,2.821468688
2,cw,0,1,88,2.2352,134.95,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,138.1214687,3.171468688
2,cw,0,1,88,2.2352,134.21,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,138.1214687,3.911468688
2,cw,0,1,88,2.2352,133.62,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,138.1214687,4.501468688
2,cw,0,1,88,2.2352,133.49,1.506,-2.118,-1.216,2.910625599,0.517414538,0.544,138.1214687,4.631468688
2,ccw,10,0.984807753,6.5625,0.1666875,10.22,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,9.017071763,-1.202928237
2,ccw,10,0.984807753,6.5625,0.1666875,9.64,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,9.017071763,-0.622928237
2,ccw,10,0.984807753,6.5625,0.1666875,7.06,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,9.017071763,1.957071763
2,ccw,10,0.984807753,6.5625,0.1666875,6.99,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,9.017071763,2.027071763
2,ccw,10,0.984807753,6.5625,0.1666875,6.16,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,9.017071763,2.857071763
2,ccw,10,0.984807753,29.375,0.746125,43.73,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,44.58917837,0.859178367
2,ccw,10,0.984807753,29.375,0.746125,43.57,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,44.58917837,1.019178367
2,ccw,10,0.984807753,29.375,0.746125,41.48,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,44.58917837,3.109178367
2,ccw,10,0.984807753,29.375,0.746125,41.1,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,44.58917837,3.489178367
2,ccw,10,0.984807753,29.375,0.746125,40,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,44.58917837,4.589178367
2,ccw,10,0.984807753,58.8125,1.4938375,92.04,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,90.49181456,-1.548185439
2,ccw,10,0.984807753,58.8125,1.4938375,91.55,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,90.49181456,-1.058185439
2,ccw,10,0.984807753,58.8125,1.4938375,89.45,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,90.49181456,1.041814561
2,ccw,10,0.984807753,58.8125,1.4938375,84.53,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,90.49181456,5.961814561
2,ccw,10,0.984807753,88.1875,2.2399625,133.86,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,136.2969929,2.436992928
2,ccw,10,0.984807753,88.1875,2.2399625,132.77,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,136.2969929,3.526992928
2,ccw,10,0.984807753,88.1875,2.2399625,132.09,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,136.2969929,4.206992928
2,ccw,10,0.984807753,88.1875,2.2399625,131.41,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,136.2969929,4.886992928
2,ccw,10,0.984807753,88.1875,2.2399625,131.34,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,136.2969929,4.956992928
2,cw,10,0.984807753,6.5,0.1651,9.5,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,8.919613937,-0.580386063
2,cw,10,0.984807753,6.5,0.1651,8.5,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,8.919613937,0.419613937
2,cw,10,0.984807753,6.5,0.1651,8.45,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,8.919613937,0.469613937
2,cw,10,0.984807753,6.5,0.1651,8.25,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,8.919613937,0.669613937
