diameter,speed,step,angle
3,50,10,10.55
3,50,10,10.58
3,50,10,10.71
3,50,50,48.83
3,50,50,48.26
3,50,50,47.85
3,50,100,99.76
3,50,100,101.25
3,50,100,100.43
3,50,150,150.72
3,50,150,152.59
3,50,150,152.97
3,50,200,202.76
3,50,200,200.73
3,50,200,200.91
3,100,10,8.75
3,100,10,7.62
3,100,10,7.59
3,100,50,46.07
3,100,50,48.18
3,100,50,48.91
3,100,100,98.21
3,100,100,99.53
3,100,100,97.35
3,100,150,150.29
3,100,150,148.19
3,100,150,148.24
3,100,200,201.14
3,100,200,200.69
3,100,200,200.95
3,50,10,10.71
3,50,10,10.87
3,50,10,10.91
3,50,50,50.97
3,50,50,48.11
3,50,50,49.05
3,50,100,102.33
3,50,100,101.37
3,50,100,99.87
3,50,150,151.45
3,50,150,152.82
3,50,150,151.41
3,50,200,202.18
3,50,200,200.15
3,50,200,200.32
3,100,10,8.66
3,100,10,7.79
3,100,10,7.82
3,100,50,48.31
3,100,50,50.09
3,100,50,48.47
3,100,100,98.17
3,100,100,100.49
3,100,100,100.49
3,100,150,149.93
3,100,150,149.88
3,100,150,150.11
3,100,200,200.34
3,100,200,200.37
3,100,200,200.27
2,50,10,13.49
2,50,10,12.69
2,50,10,15.01
2,50,50,75.34
2,50,50,75.79
2,50,50,75.94
2,50,100,152.91
2,50,100,150.66
2,50,100,150.68
2,50,200,305.84
2,50,200,304.94
2,50,200,305.35
2,50,10,16.17
2,50,10,15.91
2,50,10,15.74
2,50,50,77.17
2,50,50,76.79
2,50,50,77.21
2,50,100,150.74
2,50,100,150.64
2,50,100,149.59
2,50,200,306.11
2,50,200,307.85
2,50,200,307.07
5,50,10,6.59
5,50,10,4.71
5,50,10,4.71
5,50,50,30.21
5,50,50,29.21
5,50,50,29.03
5,50,100,61.01
5,50,100,60.68
5,50,100,59.77
5,50,200,120.51
5,50,200,120.47
5,50,200,121.56
5,50,10,4.89
5,50,10,4.82
5,50,10,4.77
5,50,50,29.08
5,50,50,29.54
5,50,50,29.14
5,50,100,59.92
5,50,100,60.95
5,50,100,59.97
5,50,200,120.95
5,50,200,120.23
5,50,200,120.96
4,50,10,7.04
4,50,10,5.92
4,50,10,6.02
4,50,50,38.55
4,50,50,37.66
4,50,50,37.94
4,50,100,76.93
4,50,100,78.12
4,50,100,76.86
4,50,200,155.23
4,50,200,155.26
4,50,200,155.24
4,50,10,6.75
4,50,10,8.62
4,50,10,8.96
4,50,50,37.21
4,50,50,39.13
4,50,50,39.34
4,50,100,76.33
4,50,100,76.48
4,50,100,76.42
4,50,200,155.07
4,50,200,154.84
4,50,200,155.15
1,50,10,11.01
1,50,10,10.99
1,50,10,11.56
1,50,10,8.36
1,50,10,8.6
1,50,10,10.32
1,50,50,101
1,50,50,97
1,50,50,98
1,50,50,
1,50,50,
1,50,50,
1,50,100,
1,50,100,
1,50,100,
1,50,100,
1,50,100,
1,50,100,
1,50,,
1,50,,
1,50,,
1,50,,
1,50,,
1,50,,
